City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
constitucion,20,MX,1570643084,43,23.99,-104.67,75,3.36
bredasdorp,32,ZA,1570643076,50,-34.53,20.04,51.8,4.7
punta arenas,20,PH,1570643059,78,14.18,121.12,81,2.24
fort-shevchenko,55,KZ,1570643452,76,44.51,50.26,55.13,6.8
souillac,20,FR,1570643167,67,45.6,-0.6,63,9.17
iquira,75,CO,1570643453,57,2.65,-75.64,80.6,4.7
mys shmidta,95,RU,1570643256,97,62.06,48.62,31.91,5.57
fayaoue,27,NC,1570643454,81,-20.65,166.53,72.41,9.16
keetmanshoop,0,NA,1570643455,24,-26.57,18.15,71.6,16.11
albany,75,US,1570643094,55,42.65,-73.75,62.01,5.82
mataura,100,NZ,1570643064,98,-46.19,168.86,46.99,8.01
oussouye,20,SN,1570643456,83,12.49,-16.54,87.8,2.24
ushuaia,75,AR,1570643060,87,-54.81,-68.31,46.4,6.22
nouakchott,100,MR,1570643456,62,18.08,-15.98,84.2,9.17
serov,100,RU,1570643457,95,59.61,60.57,39.47,3.75
fort saint john,100,IN,1570643457,90,17.96,79.61,75.47,3.14
chuy,19,UY,1570643134,48,-33.69,-53.46,71.69,5.61
castro,75,CL,1570643070,76,-42.48,-73.76,57.2,12.75
camacha,75,PT,1570643173,77,33.08,-16.33,71.6,13.87
sao filipe,0,IN,1570643235,71,20.51,76.21,72.41,3.35
vaini,100,IN,1570643061,95,15.34,74.49,69.89,1.13
kapaa,1,US,1570643101,94,22.08,-159.32,73.4,9.17
cabo san lucas,20,ES,1570643137,72,43.18,-5.8,66.2,9.17
pevek,100,RU,1570643270,82,69.7,170.27,29.57,13.94
kilgore,40,US,1570643461,57,32.39,-94.88,82,6.93
carnarvon,28,ZA,1570643073,59,-30.97,22.13,52.79,24.84
ancud,75,CL,1570643071,76,-41.87,-73.83,57.2,12.75
geraldton,40,CA,1570643130,55,49.72,-86.95,62.6,13.87
san angelo,27,ML,1570643463,25,13.3,-4.9,94.37,7.15
airai,82,TL,1570643088,35,-8.93,125.41,65.03,5.71
damghan,16,IR,1570643464,39,36.17,54.34,62.15,4.85
bambous virieux,75,MU,1570643211,69,-20.26,57.41,73.4,17.22
hobart,90,AU,1570643060,87,-42.88,147.33,48.2,4.7
rikitea,95,PF,1570643072,67,-23.12,-134.97,68.81,6.09
georgetown,20,GY,1570643100,66,6.8,-58.16,87.8,9.17
tasiilaq,75,GL,1570643188,75,65.61,-37.64,41,6.93
virginia beach,1,US,1570643467,35,39.95,-90.21,73.99,5.82
puerto rico,75,AR,1570643467,35,-51.62,-69.23,55.4,20.8
vestmannaeyjar,40,IS,1570643467,75,63.44,-20.27,46.4,5.82
erenhot,80,CN,1570643468,63,43.65,111.97,47.75,16.36
meulaboh,100,ID,1570643283,82,4.14,96.13,78.89,10.48
bluff,11,AU,1570643086,40,-23.58,149.07,60.89,8.24
qaanaaq,100,GL,1570643062,82,77.48,-69.36,20.21,12.88
torbay,40,CA,1570643119,58,47.66,-52.73,55.99,16.11
charters towers,90,US,1570643469,82,38.57,-83.43,72,2.72
hami,74,CN,1570643469,23,42.84,93.51,60.35,12.04
porto novo,0,PT,1570643189,68,41.15,-8.61,64.99,17.22
grand river south east,20,FR,1570643135,82,48.39,5.49,57.2,4.7
lasa,20,CY,1570643109,73,34.92,32.53,78.8,8.05
pocao de pedras,40,BR,1570643471,66,-3.37,-60.41,87.8,4.7
cooma,90,AU,1570643471,97,-36.24,149.13,32,1.04
lebu,11,ET,1570643109,89,8.96,38.73,53.15,4.79
labuan,75,BN,1570643279,94,5.28,115.24,77,4.87
gorontalo,9,ID,1570643473,76,0.54,123.06,70.97,2.36
lorengau,13,PG,1570643209,70,-2.02,147.27,84.65,7.61
nishihara,0,JP,1570643473,63,35.74,139.53,66.99,12.75
fairbanks,75,US,1570643068,93,64.84,-147.72,35.6,2.07
jaisalmer,0,IN,1570643475,23,26.91,70.91,88.25,6.48
puerto ayora,75,AR,1570643057,35,-51.62,-69.23,55.4,20.8
ornskoldsvik,75,SE,1570643475,74,63.29,18.72,41,3.36
mount gambier,20,GB,1570643476,76,53.66,-1.85,53.6,11.41
saskylakh,98,RU,1570643169,94,71.97,114.09,16.97,13.68
miles city,0,AU,1570643477,92,-26.66,150.19,52.43,6.48
upernavik,0,GL,1570643153,48,72.79,-56.15,27.41,5.27
port alfred,24,CD,1570643074,66,-7.04,29.76,79.79,4.79
sur,0,OM,1570643478,58,22.57,59.53,81.41,8.59
uglegorsk,0,RU,1570643478,77,49.08,142.06,48.65,8.78
ugoofaaru,100,MV,1570643479,78,5.67,73,82.49,11.37
hilo,1,US,1570643064,64,19.71,-155.08,73.99,5.82
boende,79,CD,1570643480,95,-0.28,20.88,74.21,1.58
guerrero negro,40,AR,1570643122,33,-24.19,-65.45,86,12.75
atuona,38,PF,1570643092,71,-9.8,-139.03,78.71,7.77
plettenberg bay,75,DE,1570643482,81,51.21,7.87,54,11.41
faanui,99,PF,1570643075,81,-16.48,-151.75,75.47,21.38
shingu,31,JP,1570643482,80,33.72,135.99,73.67,25.18
avarua,100,CK,1570643069,82,-21.21,-159.78,68,6.93
pathein,79,MM,1570643483,87,16.78,94.73,78.53,3.64
bilma,94,NE,1570643188,24,18.69,12.92,91.85,2.13
coquimbo,75,CL,1570643484,76,-29.95,-71.34,57.2,12.75
havre-saint-pierre,1,CA,1570643170,53,50.23,-63.6,51.8,17.22
katsuura,20,JP,1570643162,82,33.93,134.5,57.2,10.29
khatanga,83,RU,1570643116,94,71.98,102.47,14.45,8.15
mar del plata,9,CN,1570643115,59,29.86,90.73,31.91,4.75
jiangyou,100,CN,1570643485,80,31.78,104.73,56.75,2.9
inuvik,90,CA,1570643485,86,68.36,-133.71,32,4.7
hermanus,39,ZA,1570643060,84,-34.42,19.24,55,14.01
mandsaur,29,IN,1570643486,78,24.07,75.07,73.67,4.37
belton,40,US,1570643487,55,31.06,-97.46,87.01,17.22
aksarka,100,RU,1570643083,98,66.56,67.8,37.49,5.31
jacareacanga,71,BR,1570643487,52,-6.22,-57.76,93.2,4.7
cape town,75,CL,1570643058,46,-36.41,-71.9,69.8,11.41
beringovskiy,2,RU,1570643065,68,63.05,179.32,33.17,15.49
san cristobal,27,ML,1570643067,25,13.3,-4.9,94.37,7.15
tual,100,ID,1570643187,86,-5.67,132.75,78.17,8.14
manaus,40,BR,1570643489,66,-3.13,-59.98,87.8,4.7
thompson,75,CA,1570643079,59,55.74,-97.86,35.6,9.17
barrow,27,AR,1570643093,33,-38.31,-60.23,70.25,17.38
gayny,100,RU,1570643490,88,60.3,54.33,34.25,1.69
laguna,75,BZ,1570643490,79,16.17,-88.94,86,4.7
ustye,76,RU,1570643491,92,58.76,27.79,40.19,5.48
victoria,75,BN,1570643084,94,5.28,115.24,77,4.87
saint-philippe,1,CA,1570643128,51,45.36,-73.48,63,4.7
muriti,20,TZ,1570643492,78,-1.99,32.93,75.2,5.82
hambantota,99,LK,1570643056,78,6.12,81.12,82.13,10.45
alberton,0,ZA,1570643493,16,-26.25,28.13,82.4,2.78
acapulco,90,MX,1570643285,74,16.86,-99.88,82.4,3.36
taltal,38,CL,1570643493,71,-25.41,-70.49,58.91,5.96
dunedin,100,NZ,1570643207,95,-45.87,170.5,48.99,1.01
erzin,0,TR,1570643494,60,36.95,36.2,77,3.36
chokurdakh,0,RU,1570643057,88,70.62,147.9,4.37,3.28
saint-pierre,57,FR,1570643127,71,48.95,4.24,57.2,16.11
marzuq,36,YE,1570643495,53,14.4,46.47,75.65,5.16
segovia,0,ES,1570643496,31,40.95,-4.12,82.4,1.12
samarai,98,PG,1570643214,95,-10.62,150.67,73.49,3.07
jinka,100,ET,1570643497,89,5.79,36.57,64.13,4.64
ust-maya,14,RU,1570643497,96,60.42,134.54,22.55,2.37
malazgirt,26,TR,1570643498,60,39.15,42.54,51.71,3.24
wilmington,90,US,1570643498,67,39.75,-75.55,62.01,9.17
lagoa,0,PT,1570643184,53,37.14,-8.45,82,5.82
tuktoyaktuk,90,CA,1570643157,67,69.44,-133.03,32,4.7
nikolskoye,75,RU,1570643138,86,59.7,30.79,41,4.47
tubuala,40,PA,1570643500,83,9.52,-79.03,82.4,8.05
trairi,69,BR,1570643172,35,-3.28,-39.27,91.13,14.54
arlit,100,NE,1570643218,21,18.74,7.39,96.53,10.71
hemsedal,100,NO,1570643501,86,60.86,8.55,35.01,4.32
tiksi,100,RU,1570643086,88,71.64,128.87,22.73,7.61
cidreira,0,BR,1570643082,84,-30.17,-50.22,67.55,9.65
port blair,24,CD,1570643144,66,-7.04,29.76,79.79,4.79
matagami,55,NG,1570643503,95,9.67,8.4,70.61,1.25
busselton,8,AU,1570643099,67,-33.64,115.35,54,2.17
touros,40,BR,1570643243,54,-5.2,-35.46,84.2,17.22
tavda,100,RU,1570643504,84,58.04,65.27,50.27,5.35
gladstone,90,AU,1570643505,68,-23.84,151.26,68,9.17
zhigansk,1,RU,1570643506,84,66.77,123.37,17.69,24.96
maun,14,BW,1570643506,17,-19.99,23.42,91.4,5.82
san felipe,27,ML,1570643506,25,13.3,-4.9,94.37,7.15
auki,93,NG,1570643507,72,12.18,6.51,78.71,4.75
saint-georges,61,CA,1570643131,48,46.12,-70.67,57.99,3
pokhara,0,NP,1570643508,92,28.21,83.99,63.41,2.34
hithadhoo,58,MV,1570643136,76,-0.6,73.08,82.49,9.37
illapel,100,CL,1570643508,10,-31.63,-71.17,83.93,9.88
noumea,0,NC,1570643509,93,-22.28,166.46,72,14.72
kahului,20,US,1570643174,77,20.89,-156.47,77,3.36
iqaluit,75,CA,1570643091,86,63.75,-68.52,37.4,5.82
tagab,0,AF,1570643510,38,34.85,69.65,59,3.36
daman,100,IN,1570643510,81,20.42,72.83,77.99,5.24
padang,47,ID,1570643173,98,-0.92,100.36,67.55,0.97
tongchuan,99,CN,1570643511,100,34.9,108.95,55.4,2.24
severo-kurilsk,89,RU,1570643088,96,50.68,156.12,42.35,6.3
mackenzie,75,CA,1570643512,73,55.34,-123.09,26.6,5.82
bismarck,90,US,1570643512,100,46.81,-100.78,42.8,14.99
portland,75,US,1570643513,54,43.66,-70.25,61,12.75
jamestown,0,AU,1570643098,87,-33.21,138.6,43.25,13.19
okhotsk,100,RU,1570643513,94,59.36,143.24,38.21,15.24
kruisfontein,66,ZA,1570643163,67,-34,24.73,52.61,18.48
sitka,0,US,1570643237,57,37.17,-99.65,79,20
zakharovo,100,RU,1570643514,98,54.37,39.28,41,4
timmins,40,CA,1570643515,51,48.48,-81.33,62.6,13.87
yantal,100,RU,1570643516,80,56.85,105.25,20.39,6.78
kavieng,10,PG,1570643140,68,-2.57,150.8,84.83,6.34
dayong,2,CN,1570643516,78,25.02,118.29,75.2,4.47
waipawa,100,NZ,1570643517,94,-39.94,176.59,46.99,1.45
birjand,0,IR,1570643518,15,32.86,59.22,71.6,4.58
aykhal,90,RU,1570643267,79,65.95,111.51,19.4,11.18
hobyo,0,SO,1570643518,72,5.35,48.53,81.23,9.98
norman wells,1,US,1570643067,60,35.22,-97.44,77,24.16
abha,40,SA,1570643519,28,18.22,42.5,71.6,23.04
pauini,57,BR,1570643520,55,-7.71,-67,90.59,1.68
muana,20,BR,1570643520,49,-1.53,-49.22,90.77,7.7
sisimiut,26,GL,1570643264,45,66.94,-53.67,33.17,2.47
terskaya,90,RU,1570643521,100,43.72,44.72,50,4.45
ribeira grande,20,PT,1570643150,63,41.76,-8.56,66.99,8.05
sokoni,79,CD,1570643522,33,-12.89,28.78,73.85,3.03
kos,0,BG,1570643522,92,41.54,25.53,53.33,4.75
palu,55,ID,1570643523,98,-0.9,119.87,66.29,2.17
tanete,88,ID,1570643523,96,-3.94,119.78,71.33,3.4
ladario,0,PT,1570643524,55,40.7,-7.74,72,4
corrente,78,BR,1570643524,37,-17.45,-44.68,87.17,5.15
cockburn town,0,AU,1570643300,42,-32.08,141,48.2,3.36
kodiak,90,US,1570643062,62,39.95,-94.76,59,18.34
mukhen,26,RU,1570643525,67,48.19,136.14,47.39,11.97
pedro escobedo,75,BR,1570643525,61,-18.99,-47.14,77,4.7
tuatapere,100,NZ,1570643144,98,-46.13,167.69,46.99,8.01
saint-augustin,75,CA,1570643526,58,45.63,-73.98,62.01,8.05
klyuchi,0,RU,1570643526,67,52.25,79.17,51.71,5.75
sao joao da barra,0,IN,1570643257,71,20.51,76.21,72.41,3.35
saldanha,0,PT,1570643083,35,41.42,-6.55,64.67,6.36
swift current,40,US,1570643527,65,31.62,-94.48,82,8.05
camopi,39,GF,1570643528,26,3.17,-52.33,97.79,5.34
plouzane,75,FR,1570643529,82,48.38,-4.62,57.2,16.11
fare,95,PF,1570643529,82,-16.7,-151.02,75.65,20.71
tymovskoye,1,RU,1570643530,89,50.85,142.66,38.93,4.74
sabang,39,PH,1570643531,87,13.8,121.11,78.01,4.52
kralendijk,40,BQ,1570643531,74,12.15,-68.27,86,14.99
avera,90,US,1570643079,64,33.19,-82.53,77,5.82
sampit,61,ID,1570643261,92,-2.54,112.95,73.85,0.66
kasaragod,40,IN,1570643532,88,12.5,75,77,5.82
gloucester,20,GB,1570643533,81,51.87,-2.25,54,9.17
kalemie,100,CD,1570643533,48,-5.95,29.2,76.19,1.03
fagernes,100,NO,1570643533,93,60.99,9.24,35.01,5.06
bismil,0,TR,1570643534,38,37.85,40.66,73.4,5.82
sola,88,TZ,1570643245,47,-3.17,33.8,77.63,15.65
bandar penggaram,75,BD,1570643534,100,22.29,91.78,78.8,1.73
vestmanna,99,FO,1570643535,87,62.16,-7.17,50,16.11
tolbazy,90,RU,1570643535,93,54.01,55.89,41,4.47
yarada,75,IN,1570643536,94,17.65,83.27,78.8,4.7
cherskiy,0,RU,1570643097,86,68.75,161.3,11.03,9.05
itarema,64,BR,1570643536,46,-2.92,-39.92,87.89,18.32
port elizabeth,24,CD,1570643170,66,-7.04,29.76,79.79,4.79
arraial do cabo,40,BR,1570643191,61,-22.84,-46.65,77,6.93
laramie,1,US,1570643537,12,41.31,-105.59,66.2,20.8
esil,83,KZ,1570643538,36,51.96,66.41,56.75,10.62
longyearbyen,75,NO,1570643059,93,78.22,15.63,32,12.75
kamyshevatskaya,90,RU,1570643539,64,46.41,37.96,50.63,5.04
new norfolk,75,LR,1570643057,83,6.65,-10.59,82.4,11.41
tenali,40,IN,1570643540,88,16.24,80.65,82.4,3.37
yellowknife,20,CA,1570643077,74,62.45,-114.38,33.01,8.05
nizwa,12,OM,1570643541,38,22.93,57.53,80.69,4.15
verkhoyansk,59,RU,1570643541,77,67.55,133.39,9.95,6.82
dingle,88,PH,1570643541,90,11,122.67,74.93,4.26
mogadishu,30,SO,1570643224,85,2.04,45.34,80.33,10.02
rovaniemi,90,FI,1570643542,93,66.5,25.72,35.6,6.93
kadoma,0,JP,1570643242,72,34.73,135.6,62.6,10.29
ostrovnoy,99,RU,1570643168,90,68.05,39.51,32.45,10.5
weatherford,75,US,1570643543,51,32.76,-97.8,84.2,14.99
gambo,10,CF,1570643543,91,4.65,22.26,70.97,1.93
vila velha,90,IT,1570643223,100,45.18,8.4,59,1.12
paamiut,79,GL,1570643544,79,61.99,-49.67,41.09,5.74
taoudenni,11,ML,1570643164,12,22.68,-3.98,91.67,12.27
moscow,75,RU,1570643545,100,55.75,37.62,39.2,6.71
rawson,15,AR,1570643545,56,-43.3,-65.11,54.95,4.02
port moresby,24,CD,1570643546,66,-7.04,29.76,79.79,4.79
byron bay,90,US,1570643263,69,32.65,-83.76,75.2,5.82
salta,40,AR,1570643547,36,-24.79,-65.41,86,6.93
liverpool,40,GB,1570643172,71,53.41,-2.98,55.4,12.75
serrinha,5,BR,1570643547,40,-11.66,-39,86.99,13.83
east london,84,UG,1570643160,88,3.43,31.7,70.61,4.34
verkhnyaya maksakovka,100,RU,1570643548,99,60.98,40.21,34.97,6.75
belmonte,0,PT,1570643135,29,40.36,-7.35,66.99,4.46
boryslav,99,UA,1570643549,93,49.29,23.42,50,4.47
butaritari,47,KI,1570643059,65,3.07,172.79,84.47,8.55
derzhavinsk,83,KZ,1570643550,32,51.1,66.31,58.19,10.4
bombay,1,US,1570643550,54,44.94,-74.57,62.01,5.82
emerald,0,AU,1570643551,21,-23.53,148.16,62.6,8.05
guangyuan,100,CN,1570643551,90,32.43,105.86,54.05,6.27
bam,0,IR,1570643552,12,29.11,58.36,80.87,11.75
talnakh,8,RU,1570643126,73,69.49,88.39,19.4,8.95
grindavik,75,IS,1570643119,70,63.84,-22.43,48.2,16.11
port hardy,24,CD,1570643553,66,-7.04,29.76,79.79,4.79
veraval,40,FR,1570643553,76,49.65,0.71,53.6,12.75
aklavik,75,CA,1570643210,68,68.22,-135.01,32,3.36
ossora,87,RU,1570643554,86,59.24,163.07,44.15,15.99
gilgit,55,PK,1570643555,51,35.92,74.31,42.71,4.2
lavrentiya,91,RU,1570643177,89,65.58,-170.99,34.97,7.42
zhangjiakou,96,CN,1570643131,61,40.77,114.88,48.47,1.01
qena,1,EG,1570643555,32,26.16,32.72,95,3.36
honiara,20,SB,1570643556,94,-9.43,159.96,73.4,2.13
markova,20,RU,1570643556,68,52.21,104.21,30.2,6.71
alyangula,100,AU,1570643102,94,-13.85,136.42,69.8,4.7
sohag,0,EG,1570643557,11,26.55,31.7,96.8,11.41
tarakan,82,ID,1570643557,80,3.3,117.63,80.33,4.27
luganville,96,VU,1570643557,94,-15.51,167.18,70.79,1.95
skibbereen,20,IE,1570643558,71,51.55,-9.27,51.8,12.75
hervey bay,1,US,1570643124,50,33.5,-93.78,77,9.17
alofi,98,NU,1570643201,94,-19.06,-169.92,71.6,10.29
riyadh,6,SA,1570643559,31,24.63,46.72,89.6,5.82
qasigiannguit,20,GL,1570643133,43,68.82,-51.19,33.8,5.82
carutapera,75,BR,1570643560,77,-1.2,-46.02,81.05,19.6
dergachi,50,RU,1570643560,57,51.24,48.77,42.89,7.25
sonoita,1,US,1570643246,27,31.68,-110.66,84.99,21.92
kakonko,93,TZ,1570643560,50,-3.28,30.97,74.39,0.77
creel,0,MX,1570643561,46,27.75,-107.63,69.35,11.26
esperance,100,AU,1570643171,59,-33.86,121.89,62.6,14.99
janakpur,2,NP,1570643562,89,26.73,85.92,73.85,6.22
sumbe,75,AO,1570643562,81,-11.2,13.84,78.8,4.7
puerto escondido,75,AR,1570643215,35,-51.62,-69.23,55.4,20.8
marrakesh,2,MA,1570643563,16,31.63,-7.99,93.2,5.82
biloela,58,AU,1570643563,83,-24.4,150.51,58.73,12.22
mae ramat,18,ID,1570643563,93,0.99,120.84,67.19,1.67
santa cruz de la palma,0,PH,1570643564,85,17.49,120.43,71.33,4.98
bethel,75,US,1570643067,100,60.79,-161.76,39.2,9.17
